ORIGEN,DESTINO,weight
010.000.5703.01.00,010.000.6007.00.00,2
010.000.5703.01.00,010.000.6007.01.00,27637
010.000.5703.01.00,010.000.6008.00.00,4
010.000.5703.01.00,010.000.6009.00.00,1
010.000.5703.01.00,010.000.6316.00.00,1
010.000.5703.01.00,010.000.6337.00.00,2
010.000.5703.01.00,010.000.6337.01.00,11
010.000.5704.00.00,010.000.5703.01.00,2
010.000.5704.00.00,010.000.5741.00.00,1
010.000.5704.00.00,010.000.1050.01.02,1
010.000.5704.00.00,010.000.4149.00.00,2
010.000.5704.00.00,010.000.4152.01.00,1
010.000.5704.00.00,010.000.4158.00.00,3
010.000.5704.00.00,010.000.5165.00.00,3
010.000.5704.00.00,010.000.6007.01.00,2
010.000.5705.00.00,010.000.5703.01.00,1
010.000.5705.00.00,010.000.1042.00.00,1
010.000.5705.00.00,010.000.1050.01.02,3
010.000.5705.00.00,010.000.1051.01.00,1
010.000.5705.00.00,010.000.4148.01.00,1
010.000.5705.00.00,010.000.4149.00.00,2
010.000.5705.00.00,010.000.4152.01.00,2
010.000.5705.00.00,010.000.4158.00.00,6
010.000.5705.00.00,010.000.5165.00.00,7
010.000.5705.00.00,010.000.6007.01.00,4
010.000.5740.00.00,010.000.5703.01.00,2
010.000.5740.00.00,010.000.5741.00.00,23
010.000.5740.00.00,010.000.1042.00.00,10
010.000.5740.00.00,010.000.1050.01.02,33
010.000.5740.00.00,010.000.1051.01.00,4
010.000.5740.00.00,010.000.4148.01.00,5
010.000.5740.00.00,010.000.4149.00.00,21
010.000.5740.00.00,010.000.4152.01.00,3
010.000.5740.00.00,010.000.4158.00.00,28
010.000.5740.00.00,010.000.4162.00.00,3
010.000.5740.00.00,010.000.5165.00.00,59
010.000.5740.00.00,010.000.5621.00.00,13
010.000.5740.00.00,010.000.6007.01.00,28
010.000.5741.00.00,010.000.5703.00.00,5
010.000.5741.00.00,010.000.5703.01.00,4172
010.000.5741.00.00,010.000.5704.00.00,1
010.000.5741.00.00,010.000.5740.00.00,23
010.000.5741.00.00,010.000.5742.00.00,2
010.000.5741.00.00,010.000.6077.00.00,1
010.000.5741.00.00,010.000.6078.00.00,1
010.000.5741.00.00,010.000.6079.00.00,1
010.000.5741.00.00,010.000.1042.00.00,20918
010.000.5741.00.00,010.000.1050.00.02,7
010.000.5741.00.00,010.000.1050.01.02,24238
010.000.5741.00.00,010.000.1051.00.00,2
010.000.5741.00.00,010.000.1051.01.00,4746
010.000.5741.00.00,010.000.4148.00.02,1
010.000.5741.00.00,010.000.4148.01.00,6476
010.000.5741.00.00,010.000.4149.00.00,22168
010.000.5741.00.00,010.000.4152.01.00,846
010.000.5741.00.00,010.000.4153.00.00,3
010.000.5741.00.00,010.000.4158.00.00,51999
010.000.5741.00.00,010.000.4162.00.00,2978
010.000.5741.00.00,010.000.4165.00.00,1
010.000.5741.00.00,010.000.5165.00.00,35111
010.000.5741.00.00,010.000.5166.00.00,691
010.000.5741.00.00,010.000.5620.00.00,1
010.000.5741.00.00,010.000.5621.00.00,3140
010.000.5741.00.00,010.000.6007.00.00,10
010.000.5741.00.00,010.000.6007.01.00,36653
010.000.5741.00.00,010.000.6008.00.00,24
010.000.5741.00.00,010.000.6009.00.00,14
010.000.5741.00.00,010.000.6337.01.00,47
010.000.5741.00.00,010.000.6339.00.00,1
010.000.5742.00.00,010.000.5741.00.00,2
010.000.5742.00.00,010.000.1042.00.00,1
010.000.5742.00.00,010.000.1050.01.02,2
010.000.5742.00.00,010.000.4148.01.00,1
010.000.5742.00.00,010.000.4158.00.00,1
010.000.5742.00.00,010.000.5165.00.00,2
010.000.5742.00.00,010.000.6007.01.00,5
010.000.6077.00.00,010.000.5741.00.00,1
010.000.6077.00.00,010.000.1042.00.00,1
010.000.6077.00.00,010.000.1050.01.02,1
010.000.6077.00.00,010.000.4149.00.00,1
010.000.6077.00.00,010.000.4158.00.00,2
010.000.6077.00.00,010.000.4162.00.00,1
010.000.6077.00.00,010.000.5165.00.00,2
010.000.6077.00.00,010.000.5621.00.00,2
010.000.6078.00.00,010.000.5741.00.00,1
010.000.6078.00.00,010.000.1050.01.02,1
010.000.6079.00.00,010.000.5741.00.00,1
010.000.6079.00.00,010.000.4149.00.00,1
010.000.6079.00.00,010.000.4158.00.00,3
010.000.6079.00.00,010.000.4162.00.00,1
010.000.6079.00.00,010.000.5165.00.00,1
010.000.6079.00.00,010.000.5621.00.00,1
010.000.6273.00.00,010.000.1042.00.00,1
010.000.6273.00.00,010.000.4158.00.00,1
010.000.6273.00.00,010.000.5165.00.00,1
010.000.6273.00.00,010.000.6007.01.00,1
010.000.6274.00.00,010.000.1042.00.00,1
010.000.6274.00.00,010.000.4148.01.00,1
010.000.6274.00.00,010.000.4149.00.00,1
010.000.6274.00.00,010.000.4158.00.00,1
010.000.6274.00.00,010.000.5165.00.00,3
010.000.6274.00.00,010.000.5166.00.00,1
010.000.6274.00.00,010.000.6007.01.00,4
010.000.6340.00.00,010.000.5703.01.00,1
010.000.6340.00.00,010.000.5165.00.00,1
010.000.6340.00.00,010.000.5621.00.00,1
010.000.6340.00.00,010.000.6007.01.00,1
010.000.1042.00.00,010.000.5701.00.00,1
010.000.1042.00.00,010.000.5703.00.00,40
010.000.1042.00.00,010.000.5703.01.00,18490
010.000.1042.00.00,010.000.5705.00.00,1
010.000.1042.00.00,010.000.5740.00.00,10
010.000.1042.00.00,010.000.5741.00.00,20918
010.000.1042.00.00,010.000.5742.00.00,1
010.000.1042.00.00,010.000.6077.00.00,1
010.000.1042.00.00,010.000.6273.00.00,1
010.000.1042.00.00,010.000.6274.00.00,1
010.000.1042.00.00,010.000.1050.00.02,6
010.000.1042.00.00,010.000.1050.01.02,8787
010.000.1042.00.00,010.000.1051.00.00,2
010.000.1042.00.00,010.000.1051.01.00,834
010.000.1042.00.00,010.000.4148.01.00,586
010.000.1042.00.00,010.000.4149.00.00,23938
010.000.1042.00.00,010.000.4152.00.00,6
010.000.1042.00.00,010.000.4152.01.00,11230
010.000.1042.00.00,010.000.4153.00.00,10
010.000.1042.00.00,010.000.4158.00.00,7270
010.000.1042.00.00,010.000.4162.00.00,252
010.000.1042.00.00,010.000.4165.00.00,1
010.000.1042.00.00,010.000.5165.00.00,369058
010.000.1042.00.00,010.000.5166.00.00,11425
010.000.1042.00.00,010.000.5620.00.00,1
010.000.1042.00.00,010.000.5621.00.00,17594
010.000.1042.00.00,010.000.6007.00.00,8
010.000.1042.00.00,010.000.6007.01.00,20245
010.000.1042.00.00,010.000.6008.00.00,4
010.000.1042.00.00,010.000.6009.00.00,1
010.000.1042.00.00,010.000.6275.00.00,3
010.000.1042.00.00,010.000.6337.01.00,24
010.000.1042.00.00,010.000.6339.00.00,1
010.000.1050.00.02,010.000.5703.00.00,2
010.000.1050.00.02,010.000.5703.01.00,5
010.000.1050.00.02,010.000.5741.00.00,7
010.000.1050.00.02,010.000.1042.00.00,6
010.000.1050.00.02,010.000.1051.01.00,3
010.000.1050.00.02,010.000.4152.01.00,1
010.000.1050.00.02,010.000.4162.00.00,1
010.000.1050.00.02,010.000.5165.00.00,25
010.000.1050.00.02,010.000.5621.00.00,3
010.000.1050.01.02,010.000.5700.00.00,1
010.000.1050.01.02,010.000.5701.00.00,1
010.000.1050.01.02,010.000.5703.00.00,34
010.000.1050.01.02,010.000.5703.01.00,21774
010.000.1050.01.02,010.000.5704.00.00,1
010.000.1050.01.02,010.000.5705.00.00,3
010.000.1050.01.02,010.000.5740.00.00,33
010.000.1050.01.02,010.000.5741.00.00,24238
010.000.1050.01.02,010.000.5742.00.00,2
010.000.1050.01.02,010.000.6077.00.00,1
010.000.1050.01.02,010.000.6078.00.00,1
010.000.1050.01.02,010.000.1042.00.00,8787
010.000.1050.01.02,010.000.1051.00.00,145
010.000.1050.01.02,010.000.1051.01.00,45875
010.000.1050.01.02,010.000.4148.01.00,1679
010.000.1050.01.02,010.000.4149.00.00,19407
010.000.1050.01.02,010.000.4152.00.00,4
010.000.1050.01.02,010.000.4152.01.00,15151
010.000.1050.01.02,010.000.4153.00.00,12
010.000.1050.01.02,010.000.4158.00.00,4663
010.000.1050.01.02,010.000.4162.00.00,6136
010.000.1050.01.02,010.000.5165.00.00,203490
010.000.1050.01.02,010.000.5166.00.00,3638
010.000.1050.01.02,010.000.5620.00.00,1
010.000.1050.01.02,010.000.5621.00.00,24218
010.000.1050.01.02,010.000.6007.00.00,10
010.000.1050.01.02,010.000.6007.01.00,40272
010.000.1050.01.02,010.000.6008.00.00,23
010.000.1050.01.02,010.000.6009.00.00,6
010.000.1050.01.02,010.000.6275.00.00,3
010.000.1050.01.02,010.000.6337.01.00,17
010.000.1051.00.00,010.000.5703.01.00,22
010.000.1051.00.00,010.000.5741.00.00,2
010.000.1051.00.00,010.000.1042.00.00,2
010.000.1051.00.00,010.000.1050.01.02,145
010.000.1051.00.00,010.000.1051.01.00,5
010.000.1051.00.00,010.000.4148.01.00,10
010.000.1051.00.00,010.000.4149.00.00,9
010.000.1051.00.00,010.000.4152.01.00,16
010.000.1051.00.00,010.000.4158.00.00,44
010.000.1051.00.00,010.000.4162.00.00,4
010.000.1051.00.00,010.000.5165.00.00,123
010.000.1051.00.00,010.000.5166.00.00,6
010.000.1051.00.00,010.000.5621.00.00,1
010.000.1051.00.00,010.000.6007.01.00,11
010.000.1051.01.00,010.000.5703.00.00,4
010.000.1051.01.00,010.000.5703.01.00,4830
010.000.1051.01.00,010.000.5705.00.00,1
010.000.1051.01.00,010.000.5740.00.00,4
010.000.1051.01.00,010.000.5741.00.00,4746
010.000.1051.01.00,010.000.1042.00.00,834
010.000.1051.01.00,010.000.1050.00.02,3
010.000.1051.01.00,010.000.1050.01.02,45875
010.000.1051.01.00,010.000.1051.00.00,5
010.000.1051.01.00,010.000.4148.01.00,1051
010.000.1051.01.00,010.000.4149.00.00,3478
010.000.1051.01.00,010.000.4152.01.00,2842
010.000.1051.01.00,010.000.4153.00.00,1
010.000.1051.01.00,010.000.4158.00.00,17299
010.000.1051.01.00,010.000.4162.00.00,663
010.000.1051.01.00,010.000.5165.00.00,31819
010.000.1051.01.00,010.000.5166.00.00,438
010.000.1051.01.00,010.000.5620.00.00,1
010.000.1051.01.00,010.000.5621.00.00,4423
010.000.1051.01.00,010.000.6007.00.00,3
010.000.1051.01.00,010.000.6007.01.00,9407
010.000.1051.01.00,010.000.6337.01.00,1
010.000.4148.00.02,010.000.5703.01.00,2
010.000.4148.00.02,010.000.5741.00.00,1
010.000.4148.00.02,010.000.4148.01.00,2
010.000.4148.00.02,010.000.4162.00.00,1
010.000.4148.00.02,010.000.5165.00.00,2
010.000.4148.00.02,010.000.6007.01.00,1
010.000.4148.01.00,010.000.5703.00.00,11
010.000.4148.01.00,010.000.5703.01.00,6447
010.000.4148.01.00,010.000.5705.00.00,1
010.000.4148.01.00,010.000.5740.00.00,5
010.000.4148.01.00,010.000.5741.00.00,6476
010.000.4148.01.00,010.000.5742.00.00,1
010.000.4148.01.00,010.000.6274.00.00,1
010.000.4148.01.00,010.000.1042.00.00,586
010.000.4148.01.00,010.000.1050.01.02,1679
010.000.4148.01.00,010.000.1051.00.00,10
010.000.4148.01.00,010.000.1051.01.00,1051
010.000.4148.01.00,010.000.4148.00.02,2
010.000.4148.01.00,010.000.4149.00.00,9038
010.000.4148.01.00,010.000.4152.00.00,2
010.000.4148.01.00,010.000.4152.01.00,3851
010.000.4148.01.00,010.000.4153.00.00,3
010.000.4148.01.00,010.000.4156.00.00,1
010.000.4148.01.00,010.000.4158.00.00,3786
010.000.4148.01.00,010.000.4162.00.00,2544
010.000.4148.01.00,010.000.4165.00.00,1
010.000.4148.01.00,010.000.4168.00.00,1
010.000.4148.01.00,010.000.5165.00.00,26211
010.000.4148.01.00,010.000.5166.00.00,331
010.000.4148.01.00,010.000.5621.00.00,6855
010.000.4148.01.00,010.000.6007.00.00,2
010.000.4148.01.00,010.000.6007.01.00,12824
010.000.4148.01.00,010.000.6008.00.00,13
010.000.4148.01.00,010.000.6009.00.00,3
010.000.4148.01.00,010.000.6275.00.00,1
010.000.4148.01.00,010.000.6316.00.00,1
010.000.4148.01.00,010.000.6337.01.00,6
010.000.4148.01.00,010.000.6339.00.00,1
010.000.4149.00.00,010.000.5702.00.00,1
010.000.4149.00.00,010.000.5703.00.00,21
010.000.4149.00.00,010.000.5703.01.00,17808
010.000.4149.00.00,010.000.5704.00.00,2
010.000.4149.00.00,010.000.5705.00.00,2
010.000.4149.00.00,010.000.5740.00.00,21
010.000.4149.00.00,010.000.5741.00.00,22168
010.000.4149.00.00,010.000.6077.00.00,1
010.000.4149.00.00,010.000.6079.00.00,1
010.000.4149.00.00,010.000.6274.00.00,1
010.000.4149.00.00,010.000.1042.00.00,23938
010.000.4149.00.00,010.000.1050.01.02,19407
010.000.4149.00.00,010.000.1051.00.00,9
010.000.4149.00.00,010.000.1051.01.00,3478
010.000.4149.00.00,010.000.4148.01.00,9038
010.000.4149.00.00,010.000.4152.00.00,5
010.000.4149.00.00,010.000.4152.01.00,8814
010.000.4149.00.00,010.000.4153.00.00,5
010.000.4149.00.00,010.000.4157.00.02,1
010.000.4149.00.00,010.000.4158.00.00,37069
010.000.4149.00.00,010.000.4162.00.00,2881
010.000.4149.00.00,010.000.4165.00.00,3
010.000.4149.00.00,010.000.5165.00.00,92487
010.000.4149.00.00,010.000.5166.00.00,2431
010.000.4149.00.00,010.000.5620.00.00,3
010.000.4149.00.00,010.000.5621.00.00,18465
010.000.4149.00.00,010.000.6007.00.00,2
010.000.4149.00.00,010.000.6007.01.00,19287
010.000.4149.00.00,010.000.6008.00.00,17
010.000.4149.00.00,010.000.6009.00.00,8
010.000.4149.00.00,010.000.6123.00.00,1
010.000.4149.00.00,010.000.6316.00.00,1
010.000.4149.00.00,010.000.6337.00.00,1
010.000.4149.00.00,010.000.6337.01.00,52
010.000.4149.00.00,010.000.6339.00.00,2
010.000.4152.00.00,010.000.5703.00.00,1
010.000.4152.00.00,010.000.1042.00.00,6
010.000.4152.00.00,010.000.1050.01.02,4
010.000.4152.00.00,010.000.4148.01.00,2
010.000.4152.00.00,010.000.4149.00.00,5
010.000.4152.00.00,010.000.4152.01.00,2
010.000.4152.00.00,010.000.4158.00.00,5
010.000.4152.00.00,010.000.5165.00.00,20
010.000.4152.00.00,010.000.5166.00.00,2
010.000.4152.00.00,010.000.5621.00.00,1
010.000.4152.00.00,010.000.6007.01.00,5
010.000.4152.01.00,010.000.5703.00.00,4
010.000.4152.01.00,010.000.5703.01.00,2677
010.000.4152.01.00,010.000.5704.00.00,1
010.000.4152.01.00,010.000.5705.00.00,2
010.000.4152.01.00,010.000.5740.00.00,3
010.000.4152.01.00,010.000.5741.00.00,846
010.000.4152.01.00,010.000.1042.00.00,11230
010.000.4152.01.00,010.000.1050.00.02,1
010.000.4152.01.00,010.000.1050.01.02,15151
010.000.4152.01.00,010.000.1051.00.00,16
010.000.4152.01.00,010.000.1051.01.00,2842
010.000.4152.01.00,010.000.4148.01.00,3851
010.000.4152.01.00,010.000.4149.00.00,8814
010.000.4152.01.00,010.000.4152.00.00,2
010.000.4152.01.00,010.000.4153.00.00,4
010.000.4152.01.00,010.000.4158.00.00,22562
010.000.4152.01.00,010.000.4162.00.00,1467
010.000.4152.01.00,010.000.4165.00.00,2
010.000.4152.01.00,010.000.5165.00.00,86611
010.000.4152.01.00,010.000.5166.00.00,1427
010.000.4152.01.00,010.000.5620.00.00,1
010.000.4152.01.00,010.000.5621.00.00,2855
010.000.4152.01.00,010.000.6007.00.00,2
010.000.4152.01.00,010.000.6007.01.00,11914
010.000.4152.01.00,010.000.6008.00.00,7
010.000.4152.01.00,010.000.6009.00.00,4
010.000.4152.01.00,010.000.6337.01.00,17
010.000.4153.00.00,010.000.5703.01.00,1
010.000.4153.00.00,010.000.5741.00.00,3
010.000.4153.00.00,010.000.1042.00.00,10
010.000.4153.00.00,010.000.1050.01.02,12
010.000.4153.00.00,010.000.1051.01.00,1
010.000.4153.00.00,010.000.4148.01.00,3
010.000.4153.00.00,010.000.4149.00.00,5
010.000.4153.00.00,010.000.4152.01.00,4
010.000.4153.00.00,010.000.4158.00.00,9
010.000.4153.00.00,010.000.4162.00.00,1
010.000.4153.00.00,010.000.5165.00.00,34
010.000.4153.00.00,010.000.5166.00.00,2
010.000.4153.00.00,010.000.5621.00.00,2
010.000.4153.00.00,010.000.6007.01.00,17
010.000.4156.00.00,010.000.4148.01.00,1
010.000.4156.00.00,010.000.4158.00.00,1
010.000.4156.00.00,010.000.6007.01.00,1
010.000.4157.00.02,010.000.5703.01.00,1
010.000.4157.00.02,010.000.4149.00.00,1
010.000.4158.00.00,010.000.5700.00.00,2
010.000.4158.00.00,010.000.5701.00.00,2
010.000.4158.00.00,010.000.5703.00.00,44
010.000.4158.00.00,010.000.5703.01.00,43865
010.000.4158.00.00,010.000.5704.00.00,3
010.000.4158.00.00,010.000.5705.00.00,6
010.000.4158.00.00,010.000.5740.00.00,28
010.000.4158.00.00,010.000.5741.00.00,51999
010.000.4158.00.00,010.000.5742.00.00,1
010.000.4158.00.00,010.000.6077.00.00,2
010.000.4158.00.00,010.000.6079.00.00,3
010.000.4158.00.00,010.000.6273.00.00,1
010.000.4158.00.00,010.000.6274.00.00,1
010.000.4158.00.00,010.000.1042.00.00,7270
010.000.4158.00.00,010.000.1050.01.02,4663
010.000.4158.00.00,010.000.1051.00.00,44
010.000.4158.00.00,010.000.1051.01.00,17299
010.000.4158.00.00,010.000.4148.01.00,3786
010.000.4158.00.00,010.000.4149.00.00,37069
010.000.4158.00.00,010.000.4152.00.00,5
010.000.4158.00.00,010.000.4152.01.00,22562
010.000.4158.00.00,010.000.4153.00.00,9
010.000.4158.00.00,010.000.4156.00.00,1
010.000.4158.00.00,010.000.4162.00.00,20694
010.000.4158.00.00,010.000.4165.00.00,1
010.000.4158.00.00,010.000.5165.00.00,211447
010.000.4158.00.00,010.000.5166.00.00,1908
010.000.4158.00.00,010.000.5620.00.00,7
010.000.4158.00.00,010.000.5621.00.00,48072
010.000.4158.00.00,010.000.5744.00.00,1
010.000.4158.00.00,010.000.6007.00.00,16
010.000.4158.00.00,010.000.6007.01.00,73905
010.000.4158.00.00,010.000.6008.00.00,48
010.000.4158.00.00,010.000.6009.00.00,33
010.000.4158.00.00,010.000.6181.00.00,1
010.000.4158.00.00,010.000.6275.00.00,3
010.000.4158.00.00,010.000.6316.00.00,2
010.000.4158.00.00,010.000.6337.00.00,1
010.000.4158.00.00,010.000.6337.01.00,37
010.000.4158.00.00,010.000.6339.00.00,3
010.000.4158.01.02,010.000.5165.00.00,1
010.000.4162.00.00,010.000.5703.00.00,1
010.000.4162.00.00,010.000.5703.01.00,2928
010.000.4162.00.00,010.000.5740.00.00,3
010.000.4162.00.00,010.000.5741.00.00,2978
010.000.4162.00.00,010.000.6077.00.00,1
010.000.4162.00.00,010.000.6079.00.00,1
010.000.4162.00.00,010.000.1042.00.00,252
010.000.4162.00.00,010.000.1050.00.02,1
010.000.4162.00.00,010.000.1050.01.02,6136
010.000.4162.00.00,010.000.1051.00.00,4
010.000.4162.00.00,010.000.1051.01.00,663
010.000.4162.00.00,010.000.4148.00.02,1
010.000.4162.00.00,010.000.4148.01.00,2544
010.000.4162.00.00,010.000.4149.00.00,2881
010.000.4162.00.00,010.000.4152.01.00,1467
010.000.4162.00.00,010.000.4153.00.00,1
010.000.4162.00.00,010.000.4158.00.00,20694
010.000.4162.00.00,010.000.5165.00.00,11631
010.000.4162.00.00,010.000.5166.00.00,110
010.000.4162.00.00,010.000.5621.00.00,2741
010.000.4162.00.00,010.000.6007.01.00,5370
010.000.4162.00.00,010.000.6008.00.00,8
010.000.4162.00.00,010.000.6009.00.00,6
010.000.4162.00.00,010.000.6275.00.00,2
010.000.4162.00.00,010.000.6316.00.00,5
010.000.4162.00.00,010.000.6337.01.00,3
010.000.4162.00.00,010.000.6339.00.00,1
010.000.4165.00.00,010.000.5703.01.00,4
010.000.4165.00.00,010.000.5741.00.00,1
010.000.4165.00.00,010.000.1042.00.00,1
010.000.4165.00.00,010.000.4148.01.00,1
010.000.4165.00.00,010.000.4149.00.00,3
010.000.4165.00.00,010.000.4152.01.00,2
010.000.4165.00.00,010.000.4158.00.00,1
010.000.4165.00.00,010.000.5165.00.00,2
010.000.4165.00.00,010.000.6007.01.00,5
010.000.4168.00.00,010.000.4148.01.00,1
010.000.4168.00.00,010.000.6007.01.00,1
010.000.5165.00.00,010.000.5700.00.00,1
010.000.5165.00.00,010.000.5701.00.00,1
010.000.5165.00.00,010.000.5703.00.00,58
010.000.5165.00.00,010.000.5703.01.00,32367
010.000.5165.00.00,010.000.5704.00.00,3
010.000.5165.00.00,010.000.5705.00.00,7
010.000.5165.00.00,010.000.5740.00.00,59
010.000.5165.00.00,010.000.5741.00.00,35111
010.000.5165.00.00,010.000.5742.00.00,2
010.000.5165.00.00,010.000.6077.00.00,2
010.000.5165.00.00,010.000.6079.00.00,1
010.000.5165.00.00,010.000.6273.00.00,1
010.000.5165.00.00,010.000.6274.00.00,3
010.000.5165.00.00,010.000.6340.00.00,1
010.000.5165.00.00,010.000.1042.00.00,369058
010.000.5165.00.00,010.000.1050.00.02,25
010.000.5165.00.00,010.000.1050.01.02,203490
010.000.5165.00.00,010.000.1051.00.00,123
010.000.5165.00.00,010.000.1051.01.00,31819
010.000.5165.00.00,010.000.4148.00.02,2
010.000.5165.00.00,010.000.4148.01.00,26211
010.000.5165.00.00,010.000.4149.00.00,92487
010.000.5165.00.00,010.000.4152.00.00,20
010.000.5165.00.00,010.000.4152.01.00,86611
010.000.5165.00.00,010.000.4153.00.00,34
010.000.5165.00.00,010.000.4158.00.00,211447
010.000.5165.00.00,010.000.4158.01.02,1
010.000.5165.00.00,010.000.4162.00.00,11631
010.000.5165.00.00,010.000.4165.00.00,2
010.000.5165.00.00,010.000.5166.00.00,18929
010.000.5165.00.00,010.000.5620.00.00,7
010.000.5165.00.00,010.000.5621.00.00,149985
010.000.5165.00.00,010.000.6007.00.00,38
010.000.5165.00.00,010.000.6007.01.00,147877
010.000.5165.00.00,010.000.6008.00.00,49
010.000.5165.00.00,010.000.6009.00.00,25
010.000.5165.00.00,010.000.6123.00.00,2
010.000.5165.00.00,010.000.6275.00.00,5
010.000.5165.00.00,010.000.6316.00.00,2
010.000.5165.00.00,010.000.6337.00.00,4
010.000.5165.00.00,010.000.6337.01.00,240
010.000.5165.00.00,010.000.6339.00.00,1
010.000.5166.00.00,010.000.5703.00.00,3
010.000.5166.00.00,010.000.5703.01.00,1792
010.000.5166.00.00,010.000.5741.00.00,691
010.000.5166.00.00,010.000.6274.00.00,1
010.000.5166.00.00,010.000.1042.00.00,11425
010.000.5166.00.00,010.000.1050.01.02,3638
010.000.5166.00.00,010.000.1051.00.00,6
010.000.5166.00.00,010.000.1051.01.00,438
010.000.5166.00.00,010.000.4148.01.00,331
010.000.5166.00.00,010.000.4149.00.00,2431
010.000.5166.00.00,010.000.4152.00.00,2
010.000.5166.00.00,010.000.4152.01.00,1427
010.000.5166.00.00,010.000.4153.00.00,2
010.000.5166.00.00,010.000.4158.00.00,1908
010.000.5166.00.00,010.000.4162.00.00,110
010.000.5166.00.00,010.000.5165.00.00,18929
010.000.5166.00.00,010.000.5620.00.00,1
010.000.5166.00.00,010.000.5621.00.00,1095
010.000.5166.00.00,010.000.6007.01.00,1165
010.000.5166.00.00,010.000.6337.01.00,4
010.000.5620.00.00,010.000.5741.00.00,1
010.000.5620.00.00,010.000.1042.00.00,1
010.000.5620.00.00,010.000.1050.01.02,1
010.000.5620.00.00,010.000.1051.01.00,1
010.000.5620.00.00,010.000.4149.00.00,3
010.000.5620.00.00,010.000.4152.01.00,1
010.000.5620.00.00,010.000.4158.00.00,7
010.000.5620.00.00,010.000.5165.00.00,7
010.000.5620.00.00,010.000.5166.00.00,1
010.000.5620.00.00,010.000.5621.00.00,3
010.000.5620.00.00,010.000.6007.01.00,5
010.000.5621.00.00,010.000.5700.00.00,1
010.000.5621.00.00,010.000.5701.00.00,1
010.000.5621.00.00,010.000.5703.01.00,1490
010.000.5621.00.00,010.000.5740.00.00,13
010.000.5621.00.00,010.000.5741.00.00,3140
010.000.5621.00.00,010.000.6077.00.00,2
010.000.5621.00.00,010.000.6079.00.00,1
010.000.5621.00.00,010.000.6340.00.00,1
010.000.5621.00.00,010.000.1042.00.00,17594
010.000.5621.00.00,010.000.1050.00.02,3
010.000.5621.00.00,010.000.1050.01.02,24218
010.000.5621.00.00,010.000.1051.00.00,1
010.000.5621.00.00,010.000.1051.01.00,4423
010.000.5621.00.00,010.000.4148.01.00,6855
010.000.5621.00.00,010.000.4149.00.00,18465
010.000.5621.00.00,010.000.4152.00.00,1
010.000.5621.00.00,010.000.4152.01.00,2855
010.000.5621.00.00,010.000.4153.00.00,2
010.000.5621.00.00,010.000.4158.00.00,48072
010.000.5621.00.00,010.000.4162.00.00,2741
010.000.5621.00.00,010.000.5165.00.00,149985
010.000.5621.00.00,010.000.5166.00.00,1095
010.000.5621.00.00,010.000.5620.00.00,3
